number,italian,english,german
1,accogliere,to welcome,willkommen
2,affrettarsi,to hurry / to rush,sich beeilen
3,ammettere,to admit,zugeben
4,apparecchiare,to set / to lay / to prepare ; (the table),decken
5,colpire,to hit / to strike,schlagen
6,commuovere,to affect / to move ; (emotionally),bewegen
7,digerire,to digest,verdauen
8,dirigere,to direct,leiten
9,implicare,to implicate,implizieren
10,invadere,to invade,einfallen
11,prevalere,to prevail,vorherrschen
12,rivolgersi,to turn around ; (self),sich wenden
13,svenire,to faint / to swoon,ohnmächtig werden
14,toccare,to touch,berühren
15,tradurre,to translate,übersetzen
16,calmarsi,to calm oneself down,sich beruhigen
17,compiacere,to satisfy,zufriedenstellen
18,gridare,to shout / to scream,schreien
19,impiegare,to employ ; (to hire / to take on) / to use,anstellen
20,istruire,to instruct,unterrichten
21,meritare,to deserve / to merit,verdienen
22,misurare,to measure,messen
23,muovere,to move / to stir,bewegen
24,raggiungere,to reach,erreichen
25,rimproverare,to reproach,vorwerfen
26,ripetere,to repeat,wiederholen
27,riuscire,to succeed / be able to,gelingen
28,sospendere,to suspend,aussetzen
29,spedire,to send / to ship,versenden
30,tentare,to attempt / to try / to tempt,versuchen
31,avvolgere,to wrap up / to envelop / to wrap,einwickeln
32,concedere,to concede,einräumen
33,fingere,to fake / to feign / to pretend,vortäuschen
34,infliggere,to inflict,zufügen
35,lamentarsi,to complain,sich beschweren
36,mantenere,to maintain,aufrechterhalten
37,medicare,to medicate,behandeln
38,nutrire,to feed / to nourish / to nurture,ernähren
39,ottenere,to obtain,erhalten
40,persuadere,to persuade,überreden
41,promettere,to promise,versprechen
42,reggere,to support / to bear / to withstand,tragen
43,restituire,to restore / to return / to give back,zurückgeben
44,rincrescere,to regret,bedauern
45,sposare,to marry,heiraten
46,abbandonare,to abandon,verlassen
47,abbronzare,to tan,bräunen
48,abituarsi,to get used to,sich gewöhnen
49,afferrare,to seize / to grasp / to grab,ergreifen
50,assumere,to assume,annehmen
51,comprare,to buy,kaufen
52,friggere,to fry,braten
53,gestire,to manage / to run / to organise / to organize ; (eg. a business / event),leiten
54,guadagnare,to earn,verdienen
55,piovere,to rain,regnen
56,ridurre,to reduce,verringern
57,ritenere,to retain,behalten
58,salvare,to save / to rescue,retten
59,urlare,to shout,schreien
60,aggiungere,to add,hinzufügen
61,alludere,to allude,andeuten
62,ballare,to dance,tanzen
63,comportarsi,to behave oneself / to behave,sich benehmen
64,coprire,to cover,bedecken
65,descrivere,to describe,beschreiben
66,dipendere,to depend,abhängen
67,garantire,to guarantee,garantieren
68,illudere,to deceive,täuschen
69,intendere,to intend / to mean,beabsichtigen
70,liquidare,to liquidate / to settle,abwickeln
71,pretendere,to demand,fordern
72,salutare,to greet,grüßen
73,sottrarre,to subtract,subtrahieren
74,variare,to vary,varieren
75,annoiare,to annoy / to bore,langweilen
76,correggere,to correct,korrigieren
77,eleggere,to elect,wählen
78,fallire,to fail,scheitern
79,fermarsi,to stop oneself / to stop,anhalten
80,firmare,to sign,unterschreiben
81,includere,to include,einbeziehen
82,obbligare,to obligate,zwingen
83,omettere,to omit,auslassen
84,pesare,to weigh,wiegen
85,produrre,to produce,produzieren
86,rassegnarsi,to resign oneself,sich abfinden
87,scrivere,to write,schreiben
88,spargere,to spread / to scatter / (usually solids) /to disseminate / to diffuse,verstreuen
89,votare,to vote,wählen
90,accendere,to light / to turn on / to switch on,anschalten
91,assistere,to assist / to attend / to be present at / to aid,assistieren
92,causare,to cause,verursachen
93,celebrare,to celebrate,feiern
94,comporre,to compose,komponieren
95,contenere,to contain,enthalten
96,divertirsi,to enjoy oneself,sich amüsieren
97,esprimere,to express,ausdrücken
98,inquinare,to pollute,verschmutzen
99,lottare,to struggle / to fight / to wrestle,kämpfen
100,negoziare,to negotiate,verhandeln
101,spendere,to spend ; (money) / to spend ; (time),ausgeben
102,suonare,to play ; (instrument) / to sound,spielen
103,temere,to fear / to dread,fürchten
104,udire,to hear,hören
105,alzare,to raise / to lift up,heben
106,chiedere,to ask,fragen
107,depositare,to deposit / to leave,einzahlen
108,difendere,to defend,verteidigen
109,impersonare,to impersonate,verkörpern
110,incontrare,to meet,treffen
111,interrompere,to interrupt,unterbrechen
112,legare,to tie up,binden
113,limitare,to limit,begrenzen
114,nuotare,to swim,schwimmen
115,occupare,to occupy,besetzen
116,rispettare,to respect,respektieren
